,Code,Name,Orig Code,Ensemble,Trans Type,Peak Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak Time,Trop Begin Time,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,Genesis Time,Genesis SLP,Genesis Lon,Genesis Lat,Final Time,Final SLP,Final Lon,Final Lat,Trop Begin SLP,Trop Begin Lon,Trop Begin Lat,ET Begin Time,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete Time,ET Complete SLP,ET Complete Lon,ET Complete Lat
49,TC214706,Jacob,0868,B,2,2147-10-27 00:00:00,969.93,-56.17,43.34,2147-10-26 18:00:00,2147-10-21 00:00:00,974.38,-56.34,39.92,2147-10-21 00:00:00,1012.26,-57.02,30.9,2147-10-28 12:00:00,977.39,-45.37,59.31,1012.26,-57.02,30.9,2147-10-27 00:00:00,969.93,-56.17,43.34,2147-10-27 18:00:00,977.12,-53.33,52.97
50,TC214806,Samson,0895,B,2,2148-05-19 06:00:00,964.43,-67.41,30.05,2148-05-19 06:00:00,2148-05-09 06:00:00,964.43,-67.41,30.05,2148-05-08 00:00:00,1004.02,-75.28,9.58,2148-05-21 18:00:00,989.34,-28.92,56.59,1004.56,-76.37,8.49,2148-05-20 00:00:00,966.72,-61.21,34.06,2148-05-21 00:00:00,982.22,-49.76,49.41
51,TC214807,Tiffany,0898,B,2,2148-06-04 12:00:00,949.32,-76.51,34.5,2148-06-04 12:00:00,2148-06-01 00:00:00,949.32,-76.51,34.5,2148-06-01 00:00:00,1008.85,-71.25,23.16,2148-06-07 06:00:00,1000.7,-38.5,55.25,1008.85,-71.25,23.16,2148-06-05 12:00:00,974.54,-70.71,40.33,2148-06-06 00:00:00,988.38,-64.38,44.48
52,TC214809,William,0905,B,2,2148-09-04 12:00:00,898.64,-59.26,25.72,2148-09-04 12:00:00,2148-08-30 12:00:00,898.64,-59.26,25.72,2148-08-30 12:00:00,1005.85,-41.72,11.43,2148-09-10 12:00:00,956.86,-38.16,57.54,1005.85,-41.72,11.43,2148-09-09 12:00:00,959.8,-54.0,45.53,2148-09-10 00:00:00,967.97,-45.62,49.85
53,TC214811,Bonnie,0911,B,2,2148-09-20 06:00:00,905.85,-66.97,26.72,2148-09-20 06:00:00,2148-09-13 18:00:00,905.85,-66.97,26.72,2148-09-11 12:00:00,1011.51,-31.3,14.34,2148-09-29 18:00:00,978.57,-31.25,50.25,1005.93,-33.14,16.72,2148-09-29 06:00:00,978.33,-37.19,46.89,2148-09-29 18:00:00,978.57,-31.25,50.25
54,TC215301,Thomas,1136,B,2,2153-06-05 18:00:00,918.23,-86.52,27.51,2153-06-05 18:00:00,2153-06-01 00:00:00,918.23,-86.52,27.51,2153-06-01 00:00:00,1010.53,-85.77,20.91,2153-06-15 18:00:00,1010.49,-35.25,50.75,1010.53,-85.77,20.91,2153-06-13 18:00:00,999.69,-59.34,42.7,2153-06-14 18:00:00,999.17,-51.41,45.56
55,TC215407,Frank,1194,B,2,2154-06-11 12:00:00,951.46,-77.94,33.21,2154-06-11 12:00:00,2154-06-05 00:00:00,951.46,-77.94,33.21,2154-06-05 00:00:00,1008.38,-88.36,16.58,2154-06-16 18:00:00,997.33,-46.0,54.25,1008.38,-88.36,16.58,2154-06-14 00:00:00,984.22,-68.59,42.84,2154-06-14 06:00:00,986.17,-66.99,43.9
56,TC215907,Jana,1429,B,2,2159-09-06 18:00:00,903.77,-52.35,19.79,2159-09-06 18:00:00,2159-09-02 12:00:00,903.77,-52.35,19.79,2159-08-30 18:00:00,1010.19,-13.58,8.15,2159-09-16 06:00:00,997.78,-39.81,60.17,1004.03,-29.18,13.65,2159-09-13 12:00:00,952.62,-50.48,45.84,2159-09-14 00:00:00,956.15,-47.75,49.91
57,TC215908,Kevin,1430,B,2,2159-09-05 18:00:00,940.31,-21.26,53.93,2159-09-03 06:00:00,2159-08-30 18:00:00,944.39,-49.53,36.53,2159-08-30 18:00:00,1010.2,-56.81,31.0,2159-09-06 18:00:00,951.35,-16.36,58.6,1010.2,-56.81,31.0,2159-09-03 18:00:00,945.26,-46.25,37.88,2159-09-06 18:00:00,951.35,-16.36,58.6
58,TC215910,Laura,1432,B,2,2159-10-06 00:00:00,901.65,-54.68,30.75,2159-10-03 18:00:00,2159-09-24 06:00:00,920.56,-59.27,28.32,2159-09-23 06:00:00,1008.52,-24.76,7.61,2159-10-10 00:00:00,950.4,-31.11,56.5,1006.08,-33.96,10.26,2159-10-04 00:00:00,926.14,-59.06,28.42,2159-10-09 18:00:00,946.15,-34.21,52.71
