,Code,Name,Ensemble,Trans Type,Peak Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak Time,Trop Begin Time,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,Genesis Time,Genesis SLP,Genesis Lon,Genesis Lat,Final Time,Final SLP,Final Lon,Final Lat,Trop Begin SLP,Trop Begin Lon,Trop Begin Lat,ET Begin Time,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete Time,ET Complete SLP,ET Complete Lon,ET Complete Lat
53,TC212905,Jessica,A,2,2129-10-28 12:00:00,963.18,-58.26,42.76,2129-10-28 00:00:00,2129-10-22 00:00:00,967.11,-62.06,40.26,2129-10-22 00:00:00,1002.98,-57.37,38.42,2129-10-30 06:00:00,1011.99,-32.68,48.45,1002.98,-57.37,38.42,2129-10-28 06:00:00,963.38,-60.53,41.82,2129-10-29 06:00:00,984.38,-48.02,46.75
54,TC213003,Manfred,A,2,2130-09-26 06:00:00,971.08,-74.07,29.52,2130-09-26 06:00:00,2130-09-17 18:00:00,971.08,-74.07,29.52,2130-09-17 12:00:00,1008.28,-38.15,13.68,2130-09-30 18:00:00,981.8,-58.94,55.91,1008.71,-39.32,13.25,2130-09-28 18:00:00,1001.79,-73.39,41.08,2130-09-29 00:00:00,998.55,-70.49,43.27
55,TC213103,Sofiee,B,2,2131-03-10 18:00:00,969.97,-32.56,47.59,2131-03-10 18:00:00,2131-03-07 12:00:00,969.97,-32.56,47.59,2131-03-07 12:00:00,975.99,-55.22,34.26,2131-03-12 12:00:00,988.89,-10.0,51.75,975.99,-55.22,34.26,2131-03-12 00:00:00,980.63,-20.25,50.75,2131-03-12 00:00:00,980.63,-20.25,50.75
56,TC213105,Yan,B,2,2131-07-05 06:00:00,981.88,-61.69,42.81,2131-07-05 06:00:00,2131-07-02 00:00:00,981.88,-61.69,42.81,2131-07-02 00:00:00,1012.93,-78.95,34.0,2131-07-07 06:00:00,997.48,-29.25,54.25,1012.93,-78.95,34.0,2131-07-05 12:00:00,986.35,-58.24,44.46,2131-07-06 06:00:00,996.17,-45.0,50.75
57,TC213205,Derrick,B,2,2132-12-07 18:00:00,959.03,-40.32,50.87,2132-12-07 18:00:00,2132-12-06 00:00:00,959.03,-40.32,50.87,2132-12-05 18:00:00,966.55,-48.75,40.24,2132-12-10 06:00:00,986.68,-36.43,55.23,962.68,-48.39,42.95,2132-12-08 00:00:00,960.75,-41.88,50.6,2132-12-10 00:00:00,985.74,-36.44,54.23
58,TC213303,Evelyn,B,2,2133-02-03 06:00:00,989.58,-49.52,32.69,2133-02-03 06:00:00,2133-02-02 00:00:00,989.58,-49.52,32.69,2133-02-02 00:00:00,996.13,-49.94,27.58,2133-02-08 00:00:00,1012.28,-34.5,28.0,996.13,-49.94,27.58,2133-02-05 00:00:00,1002.51,-47.0,30.75,2133-02-05 18:00:00,1006.88,-46.25,30.0
59,TC213306,Gabriel,B,2,2133-03-25 06:00:00,992.54,-38.96,22.52,2133-03-25 06:00:00,2133-03-24 18:00:00,992.54,-38.96,22.52,2133-03-24 18:00:00,997.05,-40.88,22.93,2133-03-31 06:00:00,1011.68,-26.75,44.5,997.05,-40.88,22.93,2133-03-29 00:00:00,1000.99,-40.89,34.89,2133-03-30 00:00:00,1003.47,-37.96,41.14
60,TC213409,Oscar,B,2,2134-09-18 06:00:00,923.37,-79.63,26.44,2134-09-18 06:00:00,2134-09-14 00:00:00,923.37,-79.63,26.44,2134-09-13 12:00:00,1009.42,-48.95,14.94,2134-09-22 12:00:00,997.93,-64.05,44.14,1012.22,-52.41,16.16,2134-09-20 06:00:00,956.11,-77.99,34.43,2134-09-22 00:00:00,991.81,-70.49,42.75
61,TC213410,Rachel,B,2,2134-10-18 18:00:00,986.34,-43.67,57.59,2134-10-15 12:00:00,2134-10-13 12:00:00,999.09,-66.68,36.54,2134-10-13 12:00:00,1007.03,-68.2,32.05,2134-10-19 00:00:00,986.64,-41.02,59.33,1007.03,-68.2,32.05,2134-10-15 18:00:00,997.8,-65.98,37.83,2134-10-17 12:00:00,992.23,-55.21,50.03
62,TC213506,Sunny,B,2,2135-10-21 06:00:00,970.22,-18.25,51.25,2135-10-18 18:00:00,2135-10-14 06:00:00,988.03,-48.48,38.15,2135-10-14 06:00:00,1012.5,-38.59,32.46,2135-10-21 06:00:00,970.22,-18.25,51.25,1012.5,-38.59,32.46,2135-10-19 00:00:00,985.47,-46.44,40.4,2135-10-20 00:00:00,982.4,-26.92,49.0
