,Code,Name,Orig Code,Ensemble,Trans Type,Peak Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak Time,Trop Begin Time,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,Genesis Time,Genesis SLP,Genesis Lon,Genesis Lat,Final Time,Final SLP,Final Lon,Final Lat,Trop Begin SLP,Trop Begin Lon,Trop Begin Lat,ET Begin Time,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete Time,ET Complete SLP,ET Complete Lon,ET Complete Lat
46,TC211309,Thomas,0741,A,2,2113-11-10 00:00:00,943.59,-66.64,44.07,2113-11-04 06:00:00,2113-10-31 00:00:00,951.74,-93.41,21.77,2113-10-31 00:00:00,1002.14,-89.7,26.27,2113-11-11 00:00:00,966.07,-71.38,53.74,1002.14,-89.7,26.27,2113-11-07 12:00:00,950.39,-89.47,25.49,2113-11-11 00:00:00,966.07,-71.38,53.74
47,TC211401,Wendy,0750,A,0,2114-02-05 06:00:00,988.21,-53.5,27.91,2114-02-05 06:00:00,2114-02-03 18:00:00,988.21,-53.5,27.91,2114-02-03 18:00:00,1000.66,-51.94,27.31,2114-02-07 12:00:00,1001.48,-58.25,30.25,1000.66,-51.94,27.31,,,,,,,,
48,TC211402,Anna,0753,A,0,2114-02-17 18:00:00,997.36,-43.58,31.67,2114-02-17 18:00:00,2114-02-14 18:00:00,997.36,-43.58,31.67,2114-02-14 06:00:00,1002.08,-49.38,34.6,2114-02-20 12:00:00,1009.93,-41.25,35.5,999.46,-50.3,35.66,,,,,,,,
49,TC211405,Bryan,0771,A,2,2114-08-25 00:00:00,915.17,-63.64,32.17,2114-08-25 00:00:00,2114-08-13 18:00:00,915.17,-63.64,32.17,2114-08-13 12:00:00,1005.95,-20.82,14.53,2114-08-29 18:00:00,988.63,-24.75,54.25,1003.87,-22.26,15.1,2114-08-26 00:00:00,928.16,-60.6,37.45,2114-08-28 00:00:00,973.34,-46.87,49.91
50,TC211406,Cissy,0772,A,1,2114-09-05 12:00:00,941.97,-77.79,28.77,2114-09-05 12:00:00,2114-08-30 00:00:00,941.97,-77.79,28.77,2114-08-26 06:00:00,1008.36,-29.55,14.83,2114-09-09 12:00:00,980.34,-72.23,35.67,1011.0,-49.68,18.54,2114-09-06 18:00:00,963.62,-74.86,32.07,,,,
51,TC211407,Dominic,0773,A,2,2114-09-08 00:00:00,906.75,-63.69,23.32,2114-09-08 00:00:00,2114-09-03 00:00:00,906.75,-63.69,23.32,2114-09-02 06:00:00,1006.93,-29.24,9.73,2114-09-11 12:00:00,965.21,-51.97,59.26,1004.48,-36.07,12.32,2114-09-09 18:00:00,956.56,-65.8,33.67,2114-09-11 00:00:00,970.43,-56.68,50.61
52,TC211408,Esther,0776,A,1,2114-09-13 00:00:00,976.31,-44.03,46.44,2114-09-11 18:00:00,2114-09-10 12:00:00,980.82,-51.91,39.73,2114-09-10 12:00:00,997.69,-65.83,34.31,2114-09-13 18:00:00,987.97,-43.64,55.21,997.69,-65.83,34.31,2114-09-12 12:00:00,982.1,-47.24,42.86,,,,
53,TC211409,Frank,0777,A,1,2114-09-19 18:00:00,932.01,-43.09,20.64,2114-09-19 18:00:00,2114-09-16 00:00:00,932.01,-43.09,20.64,2114-09-15 12:00:00,1008.04,-24.92,13.64,2114-09-27 18:00:00,1000.0,-32.0,32.0,1004.17,-27.23,13.68,2114-09-26 12:00:00,1002.25,-36.25,32.25,,,,
54,TC211410,Helena,0783,A,1,2114-10-19 06:00:00,984.05,-59.43,40.09,2114-10-18 18:00:00,2114-10-16 18:00:00,997.38,-59.77,37.36,2114-10-16 18:00:00,1009.46,-58.96,30.83,2114-10-20 12:00:00,1001.32,-49.25,48.25,1009.46,-58.96,30.83,2114-10-19 00:00:00,991.13,-59.51,38.81,,,,
55,TC211501,John,0830,A,2,2115-10-25 18:00:00,972.5,-59.47,34.9,2115-10-25 18:00:00,2115-10-24 00:00:00,972.5,-59.47,34.9,2115-10-24 00:00:00,997.17,-61.9,29.32,2115-10-27 12:00:00,990.01,-39.17,50.14,997.17,-61.9,29.32,2115-10-27 00:00:00,988.68,-47.67,43.95,2115-10-27 06:00:00,989.62,-43.51,46.89
56,TC211503,Kannas,0837,A,2,2115-12-08 06:00:00,962.97,-56.8,35.5,2115-12-08 06:00:00,2115-12-03 06:00:00,962.97,-56.8,35.5,2115-12-03 06:00:00,1002.28,-58.25,25.62,2115-12-13 00:00:00,994.57,-29.25,48.0,1002.28,-58.25,25.62,2115-12-12 06:00:00,990.05,-46.73,44.22,2115-12-12 12:00:00,990.27,-41.24,46.11
57,TC211504,Lomy,0843,A,1,2115-12-22 06:00:00,988.42,-57.14,35.58,2115-12-22 06:00:00,2115-12-21 06:00:00,988.42,-57.14,35.58,2115-12-20 06:00:00,1006.86,-63.59,33.89,2115-12-24 12:00:00,1009.29,-56.5,33.75,996.47,-63.18,32.17,2115-12-24 00:00:00,1007.17,-55.5,33.5,,,,
58,TC211604,Mandy,0887,A,2,2116-11-18 06:00:00,944.85,-33.39,43.79,2116-11-18 06:00:00,2116-11-18 06:00:00,944.85,-33.39,43.79,2116-11-16 18:00:00,976.55,-45.38,38.16,2116-11-22 00:00:00,967.43,-20.25,54.25,944.85,-33.39,43.79,2116-11-22 00:00:00,967.43,-20.25,54.25,2116-11-22 00:00:00,967.43,-20.25,54.25
59,TC211605,Nathan,0888,A,2,2116-11-25 06:00:00,978.89,-59.9,37.53,2116-11-25 06:00:00,2116-11-23 00:00:00,978.89,-59.9,37.53,2116-11-21 18:00:00,992.69,-61.82,38.62,2116-11-29 06:00:00,998.36,-43.71,30.04,993.23,-58.81,38.36,2116-11-27 06:00:00,990.06,-59.01,32.97,2116-11-28 00:00:00,994.9,-53.74,31.62
60,TC211606,Rosalina,0889,A,2,2116-11-30 18:00:00,944.73,-31.01,37.59,2116-11-30 18:00:00,2116-11-25 06:00:00,944.73,-31.01,37.59,2116-11-25 06:00:00,1001.56,-49.43,35.32,2116-12-06 18:00:00,978.24,11.5,53.75,1001.56,-49.43,35.32,2116-12-04 18:00:00,976.27,-20.89,39.81,2116-12-06 00:00:00,977.52,-2.56,46.87
61,TC211704,Samuel,0902,A,0,2117-02-01 18:00:00,955.78,-24.6,35.86,2117-02-01 18:00:00,2117-01-23 00:00:00,955.78,-24.6,35.86,2117-01-23 00:00:00,994.33,-44.13,35.42,2117-02-05 00:00:00,1009.31,-8.09,33.29,994.33,-44.13,35.42,,,,,,,,
62,TC211706,Tatiana,0908,A,2,2117-02-19 06:00:00,953.71,-39.12,39.92,2117-02-19 06:00:00,2117-02-18 18:00:00,953.71,-39.12,39.92,2117-02-18 12:00:00,960.98,-41.68,37.51,2117-02-25 06:00:00,986.88,11.0,44.0,954.85,-40.25,38.12,2117-02-21 06:00:00,972.15,-39.24,34.62,2117-02-22 12:00:00,990.34,-29.0,32.25
63,TC211707,Wilson,0910,A,2,2117-03-04 06:00:00,967.34,-35.89,36.81,2117-03-02 00:00:00,2117-03-01 18:00:00,971.42,-56.67,35.32,2117-03-01 18:00:00,972.17,-57.38,36.33,2117-03-07 00:00:00,986.26,11.25,53.0,972.17,-57.38,36.33,2117-03-03 18:00:00,974.29,-41.4,33.96,2117-03-05 12:00:00,973.71,-17.37,41.96
64,TC211708,Aidan,0924,A,0,2117-09-05 06:00:00,995.62,-49.65,28.76,2117-09-05 06:00:00,2117-08-29 00:00:00,995.62,-49.65,28.76,2117-08-27 12:00:00,1009.8,-30.3,16.08,2117-09-09 06:00:00,1008.37,-53.5,33.5,1009.92,-35.06,17.52,,,,,,,,
65,TC211802,Bella,0959,A,2,2118-05-18 18:00:00,967.3,-69.07,38.89,2118-05-18 00:00:00,2118-05-13 00:00:00,991.42,-80.53,34.25,2118-05-13 00:00:00,1012.86,-89.06,28.39,2118-05-20 00:00:00,980.8,-53.14,56.94,1012.86,-89.06,28.39,2118-05-18 06:00:00,985.92,-77.02,35.38,2118-05-19 06:00:00,978.78,-60.84,46.62
66,TC211803,Carson,0961,A,1,2118-06-10 18:00:00,992.24,-67.27,33.5,2118-06-10 18:00:00,2118-06-08 06:00:00,992.24,-67.27,33.5,2118-06-07 12:00:00,1010.38,-80.97,33.91,2118-06-15 06:00:00,1012.53,-41.24,46.11,1004.36,-77.91,32.53,2118-06-14 12:00:00,1009.79,-48.61,44.92,,,,
